number,value,datetime_start,datetime_complete,duration,params_D2_nm,params_D3_nm,params_D4_nm,params_metal,state
0,-2.223045572434192,2026-04-26 15:29:42.920900,2026-04-26 15:29:46.455825,0 days 00:00:03.534925,100.95998160156415,1.7484190698551687,0.30248649038908404,Au,COMPLETE
1,3.7593984962402023,2026-04-26 15:29:42.922408,2026-04-26 15:29:46.453309,0 days 00:00:03.530901,33.63260072086702,15.249770730927375,1.2652930564460032,Au,COMPLETE
2,-24.71042471042137,2026-04-26 15:29:42.968685,2026-04-26 15:29:46.145420,0 days 00:00:03.176735,60.515920521275504,15.805661990363722,0.5530745526431842,Ag,COMPLETE
3,-27.815934065927294,2026-04-26 15:29:42.976680,2026-04-26 15:29:46.159602,0 days 00:00:03.182922,70.49590407145911,9.128740096655177,1.3190694209230145,Ag,COMPLETE
4,-0.5903187721369436,2026-04-26 15:29:42.992934,2026-04-26 15:29:46.538279,0 days 00:00:03.545345,110.85054778080077,17.278737913537427,0.5671592016895093,Au,COMPLETE
5,-7.200929152148029,2026-04-26 15:29:43.024490,2026-04-26 15:29:46.178189,0 days 00:00:03.153699,26.492874758150045,7.469498662963086,1.4206442048216732,Ag,COMPLETE
6,-2.0888202706384176,2026-04-26 15:29:43.040862,2026-04-26 15:29:46.471619,0 days 00:00:03.430757,105.82778953438145,5.321687599382384,1.6263900241602998,Au,COMPLETE
7,-6.9159282472439,2026-04-26 15:29:43.075455,2026-04-26 15:29:46.509311,0 days 00:00:03.433856,31.591381640631738,0.5758581603262873,1.014958080729636,Au,COMPLETE
8,-2.138861467587989,2026-04-26 15:29:46.187941,2026-04-26 15:29:46.848477,0 days 00:00:00.660536,94.00615799885696,6.989484571307596,0.788185936341023,Cu,COMPLETE
9,-14.967145290823746,2026-04-26 15:29:46.322396,2026-04-26 15:29:46.817980,0 days 00:00:00.495584,60.323800747962416,6.247523723256592,1.4483390234254108,Au,COMPLETE
10,-0.5903187721369436,2026-04-26 15:29:46.531998,2026-04-26 15:29:47.020806,0 days 00:00:00.488808,117.44649982626437,15.839775653666095,1.7267194933879524,Au,COMPLETE
11,10.770975056689162,2026-04-26 15:29:46.566397,2026-04-26 15:29:47.007221,0 days 00:00:00.440824,114.0474595355202,14.78528305177217,1.0158026640010367,Ag,COMPLETE
12,-10.286638927414758,2026-04-26 15:29:46.599893,2026-04-26 15:29:47.111360,0 days 00:00:00.511467,43.223152218641815,8.495082417843843,0.6533348323943702,Cu,COMPLETE
13,-1.4717751507382357,2026-04-26 15:29:46.618672,2026-04-26 15:29:47.111360,0 days 00:00:00.492688,106.31197664582967,2.5083426517151324,1.2224328668778595,Ag,COMPLETE
